LatticeSize BlockSize GPUInput GPUerror GPUiteration GPUonly GPUflop GPUoutput GPUtotal CPUerror CPUiteration CPUonly CPUflop SpeedUp
32 4 0.172608 0.000000 2606 43.900993 0.373973 0.126080 44.199680 0.000000 2606 10.604736 1.548157 0.239928 
32 8 0.158016 0.000000 2606 58.552032 0.280397 0.111904 58.821953 0.000000 2606 10.443168 1.572109 0.177539 
32 16 0.147072 0.000000 2606 58.769825 0.279358 0.111936 59.028831 0.000000 2606 10.438688 1.572784 0.176840 
32 32 0.152352 0.000000 2606 58.717377 0.279607 0.113024 58.982754 0.000000 2606 10.440064 1.572577 0.177002 
64 4 0.152320 0.000000 9745 222.826874 1.176781 0.114176 223.093369 0.000000 9745 161.984161 1.618791 0.726082 
64 8 0.156096 0.000000 9745 219.679367 1.193642 0.116160 219.951630 0.000000 9745 162.157562 1.617060 0.737242 
64 16 0.157088 0.000000 9745 220.025497 1.191764 0.116672 220.299255 0.000000 9745 162.019623 1.618436 0.735452 
64 32 0.156160 0.000000 9746 220.258118 1.190627 0.114752 220.529022 0.000000 9745 162.186813 1.616768 0.735444 
128 4 0.183936 0.000000 35073 870.445435 4.477860 0.132128 870.761536 0.000000 35073 2447.942139 1.592249 2.811266 
128 8 0.188096 0.000000 35073 802.631531 4.856192 0.131008 802.950623 0.000000 35073 2447.681885 1.592418 3.048359 
128 16 0.186848 0.000000 35073 791.678284 4.923380 0.132864 791.997986 0.000000 35073 2451.153076 1.590163 3.094898 
128 32 0.259008 0.000000 35073 776.469177 5.019816 0.141120 776.869324 0.000000 35073 2447.903076 1.592274 3.150984 
256 4 0.327328 0.000000 124611 5138.432617 10.951943 0.199456 5138.958984 0.000000 124611 35294.636719 1.594458 6.868052 
256 8 0.329856 0.000000 124611 3946.811768 14.258553 0.205024 3947.346680 0.000000 124611 35266.019531 1.595752 8.934108 
256 16 0.326528 0.000000 124611 3823.309326 14.719139 0.205888 3823.841553 0.000000 124611 35298.265625 1.594294 9.231100 
256 32 0.322464 0.000000 124611 3821.036621 14.727894 0.204480 3821.563721 0.000000 124611 35295.914062 1.594400 9.235988 
