LatticeSize BlockSize GPUTexInput GPUTexerror GPUTexiteration GPUTexonly GPUTexflop GPUTexoutput GPUTextotal CPUerror CPUiteration CPUonly CPUflop SpeedUp
32 4 0.172576 0.000000 2606 52.378784 0.313444 0.118720 52.670082 0.000000 2606 10.461312 1.569382 0.198620 
32 8 0.147168 0.000000 2606 49.645313 0.330702 0.106816 49.899296 0.000000 2606 10.497984 1.563900 0.210383 
32 16 0.144832 0.000000 2606 61.549313 0.266742 0.103360 61.797504 0.000000 2606 10.503584 1.563066 0.169968 
32 32 0.144672 0.000000 2606 61.569023 0.266657 0.103520 61.817215 0.000000 2606 10.485984 1.565690 0.169629 
64 4 0.151680 0.000000 9745 239.177063 1.096336 0.108512 239.437241 0.000000 9745 162.100006 1.617634 0.677004 
64 8 0.151712 0.000000 9745 231.652100 1.131949 0.107680 231.911499 0.000000 9745 162.013184 1.618501 0.698599 
64 16 0.151392 0.000000 9745 231.797729 1.131238 0.109376 232.058502 0.000000 9745 161.834854 1.620284 0.697388 
64 32 0.150944 0.000000 9745 230.938812 1.135446 0.107392 231.197144 0.000000 9745 162.018143 1.618451 0.700779 
128 4 0.180992 0.000000 35073 934.077759 4.172814 0.126336 934.385071 0.000000 35073 2443.210449 1.595332 2.614779 
128 8 0.185408 0.000000 35073 861.174866 4.526064 0.126816 861.487122 0.000000 35073 2443.169434 1.595359 2.835991 
128 16 0.183936 0.000000 35073 839.890259 4.640764 0.126752 840.200989 0.000000 35073 2443.220459 1.595326 2.907900 
128 32 0.188640 0.000000 35073 830.651306 4.692381 0.126432 830.966370 0.000000 35073 2443.240723 1.595313 2.940240 
256 4 0.378336 0.000000 124611 5349.403320 10.520019 0.273920 5350.055664 0.000000 124611 35294.703125 1.594455 6.597072 
256 8 0.331744 0.000000 124611 3312.606934 16.988379 0.197600 3313.136230 0.000000 124611 35267.195312 1.595699 10.644656 
256 16 0.317824 0.000000 124611 3050.316162 18.449177 0.223840 3050.857910 0.000000 124611 35288.890625 1.594718 11.566875 
256 32 0.344960 0.000000 124611 3962.154541 14.203339 0.198368 3962.697998 0.000000 124611 35288.718750 1.594726 8.905226 
