BlockSize GridSize GPUonly TotalGPU TotalCPU SpeedUp Error
2 10 577.815186 646.951660 43.798943 0.067700 5.393671642801274e-04
2 100 64.815491 134.256805 43.883362 0.326861 9.713203392747158e-06
2 1000 21.032192 90.281342 43.935650 0.486653 1.837585515980171e-07
2 10000 18.103968 87.628059 43.879425 0.500746 1.073271015934653e-06
4 10 322.798920 391.972809 43.951168 0.112128 1.495839394391091e-04
4 100 33.349602 102.762817 43.786079 0.426089 2.191421653036221e-06
4 1000 11.479936 80.724861 43.739391 0.541833 6.786864972077396e-07
4 10000 11.055072 80.672768 43.991104 0.545303 2.053212898784338e-06
8 10 168.816574 238.413879 44.013058 0.184608 4.360422163913878e-05
8 100 17.841312 87.385254 43.780895 0.501010 3.337545658697598e-07
8 1000 7.164000 76.305702 43.851231 0.574678 5.523388777992699e-08
8 10000 6.132672 75.633537 43.806686 0.579197 3.880693022246879e-08
16 10 81.772575 150.930939 43.939648 0.291124 1.113189671276607e-05
16 100 9.000832 78.441986 43.774754 0.558053 3.000567391350824e-07
16 1000 3.698016 72.831329 43.947712 0.603418 5.900891304922201e-07
16 10000 3.177536 72.649185 43.873985 0.603916 4.984240339683478e-07
32 10 41.699074 110.839615 43.902943 0.396094 3.121912784108668e-06
32 100 4.642272 74.115044 43.878143 0.592027 1.513087233874153e-07
32 1000 2.349472 71.497276 43.972641 0.615025 3.983148966959721e-07
32 10000 2.302656 71.820541 43.889664 0.611102 5.705231944222178e-07
64 10 21.139551 90.348953 43.943615 0.486377 1.028415557056174e-06
64 100 2.654368 72.160194 43.828354 0.607376 9.375350487924628e-08
64 1000 2.198240 71.422592 43.914688 0.614857 2.652482148760495e-07
64 10000 2.165472 71.598946 43.830849 0.612172 2.779036654105404e-06
128 10 10.764960 79.891357 43.853058 0.548909 2.512507241801818e-07
128 100 2.223136 71.742531 43.788063 0.610350 1.301465179980158e-07
128 1000 2.160640 71.371262 43.977409 0.616178 1.345156063670159e-07
128 10000 2.151744 71.716003 43.931839 0.612581 9.875636394189734e-07
256 10 5.689344 74.774818 43.903553 0.587144 7.384608207744783e-08
256 100 2.178496 71.573921 43.954624 0.614115 2.129689466954276e-09
256 1000 2.162080 71.378716 43.820992 0.613922 6.569423258149611e-07
256 10000 2.142624 71.649086 43.883617 0.612480 2.049745162075821e-06
512 10 3.161696 72.393570 44.036991 0.608300 1.212543185046407e-08
512 100 2.165760 71.584862 43.873791 0.612892 2.158564724752499e-07
512 1000 2.170912 71.302467 44.011169 0.617246 7.343721322333372e-07
512 10000 2.151488 71.563614 43.903774 0.613493 2.021872670874272e-07
1024 10 2.278240 71.494751 43.875969 0.613695 2.615304707849075e-08
1024 100 2.152544 71.729118 43.938335 0.612559 1.302521072692986e-07
1024 1000 2.194400 71.392548 44.196800 0.619067 7.012017342219733e-07
1024 10000 2.353376 71.842529 43.895679 0.610999 2.010544457308124e-06
