BlockSize GridSize GPUonly TotalGPU CPUonly SpeedUp
2 10 1582.458130 1642.502075 394.404022 0.240
2 100 198.369537 258.454254 394.533966 1.527
2 1000 93.959709 154.036789 394.786682 2.563
2 10000 90.278656 150.323349 394.384552 2.624
2 100000 90.187012 150.186432 394.450684 2.626
2 1000000 90.105988 150.084122 394.365753 2.628
4 10 901.940918 962.012878 394.381256 0.410
4 100 91.669662 151.755035 394.423767 2.599
4 1000 66.194237 126.191963 394.380188 3.125
4 10000 64.627708 124.685753 394.378662 3.163
4 100000 64.608353 124.575935 394.433105 3.166
4 1000000 76.990974 137.099014 394.456238 2.877
8 10 455.596436 515.655457 394.382874 0.765
8 100 66.679199 126.673820 394.385498 3.113
8 1000 64.733437 124.740257 394.366547 3.162
8 10000 64.143044 124.164001 394.433411 3.177
8 100000 64.088097 124.053375 394.473999 3.180
8 1000000 64.065758 124.088005 394.369934 3.178
16 10 228.090591 288.131744 394.395203 1.369
16 100 48.146175 108.158424 394.465332 3.647
16 1000 48.245407 108.293480 394.407196 3.642
16 10000 57.293663 117.362404 394.535858 3.362
16 100000 50.587906 110.551422 394.426819 3.568
16 1000000 48.021889 108.003487 394.442200 3.652
32 10 115.198174 175.174362 394.430878 2.252
32 100 47.900768 107.867905 394.393005 3.656
32 1000 47.900383 107.911392 394.409454 3.655
32 10000 47.901215 107.929893 394.446655 3.655
32 100000 47.900127 107.872192 394.414795 3.656
32 1000000 47.894848 107.889404 394.442535 3.656
64 10 58.099167 118.089470 394.423492 3.340
64 100 57.122849 117.187813 394.479645 3.366
64 1000 51.799168 111.768829 394.456818 3.529
64 10000 47.898174 107.887558 394.435425 3.656
64 100000 47.894402 107.897606 394.393829 3.655
64 1000000 47.898399 107.913696 394.356537 3.654
128 10 48.298592 108.397957 394.418396 3.639
128 100 47.904705 107.915100 394.377594 3.655
128 1000 47.903679 107.890366 394.409058 3.656
128 10000 47.899426 107.928734 394.495148 3.655
128 100000 47.893761 107.931366 394.364868 3.654
128 1000000 57.897823 117.879807 394.467499 3.346
256 10 51.801823 111.815453 394.429047 3.528
256 100 47.902687 107.957954 394.393066 3.653
256 1000 47.904480 107.891838 394.431061 3.656
256 10000 47.897472 107.934784 394.411285 3.654
256 100000 47.897984 107.840317 394.449860 3.658
256 1000000 50.445278 110.484772 394.372742 3.569
512 10 47.902336 107.906593 394.365784 3.655
512 100 47.905247 107.906914 394.389343 3.655
512 1000 47.892063 107.914688 394.397278 3.655
512 10000 57.118721 117.142593 394.462738 3.367
512 100000 51.800575 111.800125 394.391998 3.528
512 1000000 54.634560 114.634949 394.422974 3.441
1024 10 47.901825 107.905212 394.364746 3.655
1024 100 47.896446 107.882294 394.392761 3.656
1024 1000 47.888607 107.905113 394.473114 3.656
1024 10000 47.895424 107.963326 394.375000 3.653
1024 100000 48.263714 108.319550 394.442139 3.641
1024 1000000 65.109444 125.068619 394.423035 3.154
