Bins BlockSize GridSize GPUonly TotalGPU CPUonly SpeedUp
128 2 10 1587.754883 1647.149658 391.113220 0.237
128 2 100 200.323517 259.830627 391.226227 1.506
128 2 1000 78.520355 138.067749 391.220825 2.834
128 2 10000 72.127998 131.673828 391.204346 2.971
128 2 100000 71.688316 131.263138 391.237427 2.981
128 2 1000000 71.609795 131.063492 391.174316 2.985
128 4 10 897.693359 957.155945 391.259064 0.409
128 4 100 91.517570 151.033646 391.185364 2.590
128 4 1000 63.861794 123.446442 391.198730 3.169
128 4 10000 62.416161 121.944160 391.186890 3.208
128 4 100000 62.363167 121.864929 391.197479 3.210
128 4 1000000 70.381790 129.962326 391.290955 3.011
128 8 10 459.987579 519.513428 391.218048 0.753
128 8 100 64.689667 124.204475 391.156921 3.149
128 8 1000 61.969471 121.455391 391.216614 3.221
128 8 10000 61.830784 121.349953 391.176697 3.224
128 8 100000 61.816544 121.289253 391.236511 3.226
128 8 1000000 61.791519 121.271805 391.241058 3.226
128 16 10 227.990112 287.486755 391.199127 1.361
128 16 100 58.058434 117.616646 391.190796 3.326
128 16 1000 58.031872 117.524864 391.262726 3.329
128 16 10000 66.829597 126.433151 391.230530 3.094
128 16 100000 62.753407 122.252899 391.272217 3.201
128 16 1000000 58.009281 117.486015 391.217346 3.330
128 32 10 115.261566 174.821915 391.202271 2.238
128 32 100 57.890751 117.411781 391.210510 3.332
128 32 1000 57.946815 117.453918 391.174927 3.330
128 32 10000 57.884384 117.422432 391.209015 3.332
128 32 100000 57.883518 117.373634 391.224365 3.333
128 32 1000000 57.883202 117.406631 391.202423 3.332
128 64 10 59.644512 119.145889 391.310944 3.284
128 64 100 69.030525 128.595703 391.212280 3.042
128 64 1000 62.599712 122.096741 391.269226 3.205
128 64 10000 57.885056 117.388641 391.206696 3.333
128 64 100000 57.886974 117.391617 391.211151 3.333
128 64 1000000 57.884415 117.395264 391.227783 3.333
128 128 10 58.134560 117.638107 391.145081 3.325
128 128 100 57.886433 117.436737 391.205139 3.331
128 128 1000 57.881634 117.383713 391.205933 3.333
128 128 10000 57.886974 117.404541 391.187775 3.332
128 128 100000 57.883583 117.387199 391.259644 3.333
128 128 1000000 64.116898 123.647270 391.176819 3.164
128 256 10 60.752865 120.260063 391.276398 3.254
128 256 100 57.890305 117.353989 391.214783 3.334
128 256 1000 57.881474 117.372505 391.195587 3.333
128 256 10000 57.881855 117.382622 391.217224 3.333
128 256 100000 57.883713 117.391708 391.149780 3.332
128 256 1000000 60.428097 119.916130 391.237122 3.263
128 512 10 57.878464 117.362335 391.164795 3.333
128 512 100 57.883839 117.367165 391.185974 3.333
128 512 1000 57.887489 117.451263 391.264404 3.331
128 512 10000 69.030624 128.592453 391.203583 3.042
128 512 100000 60.053696 119.573753 391.218292 3.272
128 512 1000000 64.609085 124.151390 391.196289 3.151
128 1024 10 57.880322 117.598663 391.216705 3.327
128 1024 100 57.882240 117.430107 391.227203 3.332
128 1024 1000 57.886047 117.418205 391.160431 3.331
128 1024 10000 57.880032 117.429886 391.230988 3.332
128 1024 100000 58.243168 117.807549 391.227905 3.321
128 1024 1000000 75.094337 134.658051 391.195343 2.905
