Histogram (GPU):
0.048828 7621147 
0.146484 6911183 
0.244141 6267131 
0.341797 5686486 
0.439453 5158442 
0.537109 4676357 
0.634766 4245123 
0.732422 3845345 
0.830078 3490166 
0.927734 3165872 
1.025391 2871886 
1.123047 2603651 
1.220703 2359624 
1.318359 2142546 
1.416016 1943837 
1.513672 1759980 
1.611328 1596540 
1.708984 1450782 
1.806641 1312866 
1.904297 1191795 
2.001953 1081327 
2.099609 981320 
2.197266 888334 
2.294922 807046 
2.392578 731264 
2.490234 663865 
2.587891 601940 
2.685547 545379 
2.783203 494858 
2.880859 449152 
2.978516 407480 
3.076172 369944 
3.173828 334659 
3.271484 304261 
3.369141 275570 
3.466797 249140 
3.564453 225962 
3.662109 205054 
3.759766 186134 
3.857422 169397 
3.955078 153185 
4.052734 139278 
4.150391 126733 
4.248047 114609 
4.345703 104103 
4.443359 93771 
4.541016 84875 
4.638672 77111 
4.736328 69996 
4.833984 63300 
4.931641 57848 
5.029297 52441 
5.126953 47823 
5.224609 43001 
5.322266 38820 
5.419922 35520 
5.517578 32016 
5.615234 28913 
5.712891 26684 
5.810547 23927 
5.908203 21656 
6.005859 19737 
6.103516 17687 
6.201172 16155 
6.298828 14702 
6.396484 13442 
6.494141 12005 
6.591797 10977 
6.689453 9781 
6.787109 8962 
6.884766 8037 
6.982422 7449 
7.080078 6725 
7.177734 6134 
7.275391 5577 
7.373047 5064 
7.470703 4644 
7.568359 4084 
7.666016 3739 
7.763672 3381 
7.861328 3010 
7.958984 2863 
8.056641 2483 
8.154297 2380 
8.251953 2097 
8.349609 1871 
8.447266 1725 
8.544922 1541 
8.642578 1436 
8.740234 1260 
8.837891 1172 
8.935547 1073 
9.033203 986 
9.130859 861 
9.228516 788 
9.326172 673 
9.423828 623 
9.521484 595 
9.619141 530 
9.716797 482 
9.814453 431 
9.912109 407 
10.009766 351 
10.107422 304 
10.205078 301 
10.302734 286 
10.400391 262 
10.498047 252 
10.595703 204 
10.693359 189 
10.791016 180 
10.888672 177 
10.986328 136 
11.083984 134 
11.181641 116 
11.279297 102 
11.376953 98 
11.474609 81 
11.572266 78 
11.669922 65 
11.767578 57 
11.865234 63 
11.962891 42 
12.060547 50 
12.158203 38 
12.255859 43 
12.353516 26 
12.451172 34 
12.548828 27 
12.646484 23 
12.744141 34 
12.841797 24 
12.939453 12 
13.037109 16 
13.134766 16 
13.232422 12 
13.330078 8 
13.427734 11 
13.525391 10 
13.623047 9 
13.720703 10 
13.818359 12 
13.916016 12 
14.013672 2 
14.111328 6 
14.208984 13 
14.306641 4 
14.404297 4 
14.501953 3 
14.599609 5 
14.697266 2 
14.794922 4 
14.892578 2 
14.990234 1 
15.087891 1 
15.185547 4 
15.283203 1 
15.380859 1 
15.478516 3 
15.576172 0 
15.673828 0 
15.771484 0 
15.869141 1 
15.966797 1 
16.064453 1 
16.162109 0 
16.259766 2 
16.357422 0 
16.455078 0 
16.552734 0 
16.650391 0 
16.748047 3 
16.845703 2 
16.943359 0 
17.041016 1 
17.138672 1 
17.236328 0 
17.333984 1 
17.431641 0 
17.529297 0 
17.626953 0 
17.724609 1 
17.822266 0 
17.919922 1 
18.017578 0 
18.115234 0 
18.212891 0 
18.310547 0 
18.408203 0 
18.505859 0 
18.603516 0 
18.701172 0 
18.798828 0 
18.896484 0 
18.994141 0 
19.091797 0 
19.189453 0 
19.287109 0 
19.384766 0 
19.482422 0 
19.580078 0 
19.677734 0 
19.775391 0 
19.873047 0 
19.970703 0 
20.068359 0 
20.166016 0 
20.263672 0 
20.361328 0 
20.458984 0 
20.556641 0 
20.654297 0 
20.751953 0 
20.849609 0 
20.947266 0 
21.044922 0 
21.142578 0 
21.240234 0 
21.337891 0 
21.435547 0 
21.533203 0 
21.630859 0 
21.728516 0 
21.826172 0 
21.923828 0 
22.021484 0 
22.119141 0 
22.216797 0 
22.314453 0 
22.412109 0 
22.509766 0 
22.607422 0 
22.705078 0 
22.802734 0 
22.900391 0 
22.998047 0 
23.095703 0 
23.193359 0 
23.291016 0 
23.388672 0 
23.486328 0 
23.583984 0 
23.681641 0 
23.779297 0 
23.876953 0 
23.974609 0 
24.072266 0 
24.169922 0 
24.267578 0 
24.365234 0 
24.462891 0 
24.560547 0 
24.658203 0 
24.755859 0 
24.853516 0 
24.951172 0 
25.048828 0 
25.146484 0 
25.244141 0 
25.341797 0 
25.439453 0 
25.537109 0 
25.634766 0 
25.732422 0 
25.830078 0 
25.927734 0 
26.025391 0 
26.123047 0 
26.220703 0 
26.318359 0 
26.416016 0 
26.513672 0 
26.611328 0 
26.708984 0 
26.806641 0 
26.904297 0 
27.001953 0 
27.099609 0 
27.197266 0 
27.294922 0 
27.392578 0 
27.490234 0 
27.587891 0 
27.685547 0 
27.783203 0 
27.880859 0 
27.978516 0 
28.076172 0 
28.173828 0 
28.271484 0 
28.369141 0 
28.466797 0 
28.564453 0 
28.662109 0 
28.759766 0 
28.857422 0 
28.955078 0 
29.052734 0 
29.150391 0 
29.248047 0 
29.345703 0 
29.443359 0 
29.541016 0 
29.638672 0 
29.736328 0 
29.833984 0 
29.931641 0 
30.029297 0 
30.126953 0 
30.224609 0 
30.322266 0 
30.419922 0 
30.517578 0 
30.615234 0 
30.712891 0 
30.810547 0 
30.908203 0 
31.005859 0 
31.103516 0 
31.201172 0 
31.298828 0 
31.396484 0 
31.494141 0 
31.591797 0 
31.689453 0 
31.787109 0 
31.884766 0 
31.982422 0 
32.080078 0 
32.177734 0 
32.275391 0 
32.373047 0 
32.470703 0 
32.568359 0 
32.666016 0 
32.763672 0 
32.861328 0 
32.958984 0 
33.056641 0 
33.154297 0 
33.251953 0 
33.349609 0 
33.447266 0 
33.544922 0 
33.642578 0 
33.740234 0 
33.837891 0 
33.935547 0 
34.033203 0 
34.130859 0 
34.228516 0 
34.326172 0 
34.423828 0 
34.521484 0 
34.619141 0 
34.716797 0 
34.814453 0 
34.912109 0 
35.009766 0 
35.107422 0 
35.205078 0 
35.302734 0 
35.400391 0 
35.498047 0 
35.595703 0 
35.693359 0 
35.791016 0 
35.888672 0 
35.986328 0 
36.083984 0 
36.181641 0 
36.279297 0 
36.376953 0 
36.474609 0 
36.572266 0 
36.669922 0 
36.767578 0 
36.865234 0 
36.962891 0 
37.060547 0 
37.158203 0 
37.255859 0 
37.353516 0 
37.451172 0 
37.548828 0 
37.646484 0 
37.744141 0 
37.841797 0 
37.939453 0 
38.037109 0 
38.134766 0 
38.232422 0 
38.330078 0 
38.427734 0 
38.525391 0 
38.623047 0 
38.720703 0 
38.818359 0 
38.916016 0 
39.013672 0 
39.111328 0 
39.208984 0 
39.306641 0 
39.404297 0 
39.501953 0 
39.599609 0 
39.697266 0 
39.794922 0 
39.892578 0 
39.990234 0 
40.087891 0 
40.185547 0 
40.283203 0 
40.380859 0 
40.478516 0 
40.576172 0 
40.673828 0 
40.771484 0 
40.869141 0 
40.966797 0 
41.064453 0 
41.162109 0 
41.259766 0 
41.357422 0 
41.455078 0 
41.552734 0 
41.650391 0 
41.748047 0 
41.845703 0 
41.943359 0 
42.041016 0 
42.138672 0 
42.236328 0 
42.333984 0 
42.431641 0 
42.529297 0 
42.626953 0 
42.724609 0 
42.822266 0 
42.919922 0 
43.017578 0 
43.115234 0 
43.212891 0 
43.310547 0 
43.408203 0 
43.505859 0 
43.603516 0 
43.701172 0 
43.798828 0 
43.896484 0 
43.994141 0 
44.091797 0 
44.189453 0 
44.287109 0 
44.384766 0 
44.482422 0 
44.580078 0 
44.677734 0 
44.775391 0 
44.873047 0 
44.970703 0 
45.068359 0 
45.166016 0 
45.263672 0 
45.361328 0 
45.458984 0 
45.556641 0 
45.654297 0 
45.751953 0 
45.849609 0 
45.947266 0 
46.044922 0 
46.142578 0 
46.240234 0 
46.337891 0 
46.435547 0 
46.533203 0 
46.630859 0 
46.728516 0 
46.826172 0 
46.923828 0 
47.021484 0 
47.119141 0 
47.216797 0 
47.314453 0 
47.412109 0 
47.509766 0 
47.607422 0 
47.705078 0 
47.802734 0 
47.900391 0 
47.998047 0 
48.095703 0 
48.193359 0 
48.291016 0 
48.388672 0 
48.486328 0 
48.583984 0 
48.681641 0 
48.779297 0 
48.876953 0 
48.974609 0 
49.072266 0 
49.169922 0 
49.267578 0 
49.365234 0 
49.462891 0 
49.560547 0 
49.658203 0 
49.755859 0 
49.853516 0 
49.951172 0 
50.048828 0 
50.146484 0 
50.244141 0 
50.341797 0 
50.439453 0 
50.537109 0 
50.634766 0 
50.732422 0 
50.830078 0 
50.927734 0 
51.025391 0 
51.123047 0 
51.220703 0 
51.318359 0 
51.416016 0 
51.513672 0 
51.611328 0 
51.708984 0 
51.806641 0 
51.904297 0 
52.001953 0 
52.099609 0 
52.197266 0 
52.294922 0 
52.392578 0 
52.490234 0 
52.587891 0 
52.685547 0 
52.783203 0 
52.880859 0 
52.978516 0 
53.076172 0 
53.173828 0 
53.271484 0 
53.369141 0 
53.466797 0 
53.564453 0 
53.662109 0 
53.759766 0 
53.857422 0 
53.955078 0 
54.052734 0 
54.150391 0 
54.248047 0 
54.345703 0 
54.443359 0 
54.541016 0 
54.638672 0 
54.736328 0 
54.833984 0 
54.931641 0 
55.029297 0 
55.126953 0 
55.224609 0 
55.322266 0 
55.419922 0 
55.517578 0 
55.615234 0 
55.712891 0 
55.810547 0 
55.908203 0 
56.005859 0 
56.103516 0 
56.201172 0 
56.298828 0 
56.396484 0 
56.494141 0 
56.591797 0 
56.689453 0 
56.787109 0 
56.884766 0 
56.982422 0 
57.080078 0 
57.177734 0 
57.275391 0 
57.373047 0 
57.470703 0 
57.568359 0 
57.666016 0 
57.763672 0 
57.861328 0 
57.958984 0 
58.056641 0 
58.154297 0 
58.251953 0 
58.349609 0 
58.447266 0 
58.544922 0 
58.642578 0 
58.740234 0 
58.837891 0 
58.935547 0 
59.033203 0 
59.130859 0 
59.228516 0 
59.326172 0 
