Bins BlockSize GridSize GPUonly TotalGPU CPUonly SpeedUp
2 2 10 1566.535645 1626.532959 387.790741 0.238
2 2 100 200.799332 260.979431 387.900116 1.486
2 2 1000 55.849503 116.054367 387.820557 3.342
2 2 10000 46.885216 107.066406 387.900269 3.623
2 2 100000 46.266434 106.431297 387.869537 3.644
2 2 1000000 46.539360 106.649887 387.852570 3.637
4 4 10 897.013916 957.091370 387.974304 0.405
4 4 100 90.785568 150.984802 387.860870 2.569
4 4 1000 28.567039 88.715744 387.824799 4.372
4 4 10000 23.910784 84.070877 387.923615 4.614
4 4 100000 24.286495 84.403587 387.893036 4.596
4 4 1000000 27.468639 87.690430 387.851166 4.423
8 8 10 460.399506 520.568176 387.852325 0.745
8 8 100 47.462177 107.728317 387.713898 3.599
8 8 1000 14.995840 75.075485 387.832031 5.166
8 8 10000 12.758432 72.964836 387.867798 5.316
8 8 100000 12.781600 72.894493 387.959686 5.322
8 8 1000000 12.803328 73.027451 387.821564 5.311
16 16 10 239.130142 299.236206 387.861359 1.296
16 16 100 24.199297 84.423866 387.982513 4.596
16 16 1000 7.927040 68.015198 387.834625 5.702
16 16 10000 7.642720 67.856895 387.886322 5.716
16 16 100000 7.074016 67.238785 387.987762 5.770
16 16 1000000 7.777120 67.966278 387.895752 5.707
32 32 10 125.192612 185.272797 388.179657 2.095
32 32 100 12.663968 72.869247 388.065979 5.326
32 32 1000 5.753120 65.866272 388.222931 5.894
32 32 10000 4.753824 64.938179 388.102386 5.976
32 32 100000 4.876256 64.978783 388.196564 5.974
32 32 1000000 10.331520 70.607613 388.084015 5.496
64 64 10 61.518944 121.651741 388.805145 3.196
64 64 100 7.523584 68.196358 388.794617 5.701
64 64 1000 5.420928 65.603775 388.716797 5.925
64 64 10000 3.866272 64.036163 388.747437 6.071
64 64 100000 3.937024 64.030754 388.788910 6.072
64 64 1000000 20.474527 80.614143 388.722260 4.822
128 128 10 30.252417 90.353317 389.134430 4.307
128 128 100 3.522464 63.748962 389.189148 6.105
128 128 1000 2.754176 62.897602 389.111786 6.186
128 128 10000 2.728896 62.914818 389.100342 6.185
128 128 100000 3.026976 63.123875 389.000916 6.163
128 128 1000000 23.956257 84.142464 389.079407 4.624
256 256 10 16.090336 76.183838 389.406525 5.111
256 256 100 2.416096 62.630848 389.435547 6.218
256 256 1000 2.517088 62.597858 389.497345 6.222
256 256 10000 2.464736 62.581184 389.353790 6.222
256 256 100000 4.253280 64.343552 389.525635 6.054
256 256 1000000 40.767487 100.959396 389.388123 3.857
512 512 10 7.549600 67.682114 390.381134 5.768
512 512 100 2.384768 62.511875 390.341339 6.244
512 512 1000 2.472512 62.627903 390.385498 6.233
512 512 10000 2.585632 62.785633 390.352234 6.217
512 512 100000 4.371456 64.500702 390.444550 6.053
512 512 1000000 40.797089 100.911072 390.444611 3.869
1024 1024 10 3.959936 64.059868 391.837952 6.117
1024 1024 100 2.422816 62.559040 391.890076 6.264
1024 1024 1000 2.437696 62.633949 391.690643 6.254
1024 1024 10000 2.566624 62.697792 391.843597 6.250
1024 1024 100000 5.827104 65.910881 391.845276 5.945
1024 1024 1000000 42.821247 102.981308 391.932556 3.806
