N BlockSize GridSize MAGPU MAGPUerror MACPU MACPUerror SpeedUp
81920000 2 10 2.42894e-01 3.79874e-05 2.42826e-01 +- 3.79800e-05 20.590
81920000 2 100 2.42854e-01 3.79844e-05 2.42826e-01 +- 3.79800e-05 189.829
81920000 2 1000 2.42853e-01 3.79841e-05 2.42826e-01 +- 3.79801e-05 339.686
81920000 2 10000 2.42853e-01 3.79842e-05 2.42825e-01 +- 3.79798e-05 389.095
81920000 2 100000 2.42851e-01 3.79841e-05 2.42823e-01 +- 3.79796e-05 271.405
81920000 4 10 2.42852e-01 3.79841e-05 2.42823e-01 +- 3.79796e-05 40.586
81920000 4 100 2.42853e-01 3.79843e-05 2.42824e-01 +- 3.79797e-05 347.280
81920000 4 1000 2.42852e-01 3.79840e-05 2.42824e-01 +- 3.79797e-05 645.221
81920000 4 10000 2.42850e-01 3.79838e-05 2.42824e-01 +- 3.79797e-05 722.364
81920000 4 100000 2.42852e-01 3.79843e-05 2.42827e-01 +- 3.79802e-05 53.549
81920000 8 10 2.42856e-01 3.79846e-05 2.42823e-01 +- 3.79796e-05 80.933
81920000 8 100 2.42853e-01 3.79842e-05 2.42826e-01 +- 3.79800e-05 670.379
81920000 8 1000 2.42851e-01 3.79839e-05 2.42826e-01 +- 3.79800e-05 1236.401
81920000 8 10000 2.42852e-01 3.79841e-05 2.42827e-01 +- 3.79801e-05 1317.533
81920000 8 100000 2.42856e-01 3.79849e-05 2.42825e-01 +- 3.79798e-05 30.414
81920000 16 10 2.42850e-01 3.79837e-05 2.42825e-01 +- 3.79800e-05 159.389
81920000 16 100 2.42851e-01 3.79839e-05 2.42827e-01 +- 3.79802e-05 1251.531
81920000 16 1000 2.42853e-01 3.79842e-05 2.42825e-01 +- 3.79799e-05 2136.458
81920000 16 10000 2.42856e-01 3.79847e-05 2.42827e-01 +- 3.79802e-05 1936.870
81920000 16 100000 2.42850e-01 3.79841e-05 2.42823e-01 +- 3.79796e-05 18.716
81920000 32 10 2.42853e-01 3.79843e-05 2.42826e-01 +- 3.79800e-05 303.859
81920000 32 100 2.42850e-01 3.79838e-05 2.42825e-01 +- 3.79799e-05 2406.638
81920000 32 1000 2.42851e-01 3.79839e-05 2.42828e-01 +- 3.79804e-05 3968.331
81920000 32 10000 2.42855e-01 3.79845e-05 2.42826e-01 +- 3.79800e-05 385.510
81920000 32 100000 2.42859e-01 3.79856e-05 2.42826e-01 +- 3.79800e-05 8.902
81920000 64 10 2.42850e-01 3.79837e-05 2.42825e-01 +- 3.79799e-05 562.696
81920000 64 100 2.42854e-01 3.79844e-05 2.42824e-01 +- 3.79797e-05 3986.196
81920000 64 1000 2.42852e-01 3.79842e-05 2.42825e-01 +- 3.79798e-05 4113.015
81920000 64 10000 2.42856e-01 3.79846e-05 2.42825e-01 +- 3.79799e-05 68.285
81920000 64 100000 2.42871e-01 3.79873e-05 2.42827e-01 +- 3.79802e-05 3.170
81920000 128 10 2.42854e-01 3.79843e-05 2.42827e-01 +- 3.79802e-05 1068.006
81920000 128 100 2.42855e-01 3.79846e-05 2.42824e-01 +- 3.79798e-05 3101.179
81920000 128 1000 2.42858e-01 3.79850e-05 2.42825e-01 +- 3.79798e-05 3838.918
81920000 128 10000 2.42857e-01 3.79847e-05 2.42827e-01 +- 3.79801e-05 25.729
81920000 128 100000 2.42912e-01 3.79934e-05 2.42828e-01 +- 3.79803e-05 1.255
81920000 256 10 2.42848e-01 3.79835e-05 2.42826e-01 +- 3.79800e-05 1979.428
81920000 256 100 2.42853e-01 3.79842e-05 2.42827e-01 +- 3.79802e-05 3672.043
81920000 256 1000 2.42852e-01 3.79841e-05 2.42823e-01 +- 3.79795e-05 2358.982
81920000 256 10000 2.42861e-01 3.79852e-05 2.42827e-01 +- 3.79801e-05 11.370
81920000 256 100000 2.42995e-01 3.80095e-05 2.42821e-01 +- 3.79793e-05 0.568
81920000 512 10 2.42851e-01 3.79839e-05 2.42824e-01 +- 3.79798e-05 3256.520
81920000 512 100 2.42851e-01 3.79840e-05 2.42824e-01 +- 3.79797e-05 2963.492
81920000 512 1000 2.42856e-01 3.79846e-05 2.42823e-01 +- 3.79795e-05 101.721
81920000 512 10000 2.42877e-01 3.79875e-05 2.42826e-01 +- 3.79800e-05 4.542
81920000 512 100000 nan nan nan nan nan
81920000 1024 10 2.42854e-01 3.79843e-05 2.42824e-01 +- 3.79797e-05 3926.424
81920000 1024 100 2.42852e-01 3.79841e-05 2.42825e-01 +- 3.79799e-05 3196.618
81920000 1024 1000 2.42857e-01 3.79848e-05 2.42827e-01 +- 3.79802e-05 34.322
81920000 1024 10000 2.42906e-01 3.79914e-05 2.42824e-01 +- 3.79797e-05 1.661
81920000 1024 100000 nan nan nan nan nan
