N BlockSize GridSize SSGPU SSGPUerror SSCPU SSCPUerror SpeedUp
81920000 2 10 2.42859e-01 3.84946e-05 2.42857e-01 +- 3.84942e-05 5.130
81920000 2 100 2.42853e-01 3.84935e-05 2.42856e-01 +- 3.84942e-05 47.134
81920000 2 1000 2.42855e-01 3.84939e-05 2.42856e-01 +- 3.84942e-05 79.543
81920000 2 10000 2.42853e-01 3.84937e-05 2.42855e-01 +- 3.84939e-05 106.090
81920000 2 100000 2.42861e-01 3.84949e-05 2.42862e-01 +- 3.84950e-05 63.411
81920000 4 10 2.42852e-01 3.84935e-05 2.42848e-01 +- 3.84929e-05 10.180
81920000 4 100 2.42833e-01 3.84902e-05 2.42845e-01 +- 3.84924e-05 97.641
81920000 4 1000 2.42835e-01 3.84904e-05 2.42859e-01 +- 3.84948e-05 154.883
81920000 4 10000 2.42864e-01 3.84954e-05 2.42871e-01 +- 3.84968e-05 173.977
81920000 4 100000 2.42845e-01 3.84924e-05 2.42857e-01 +- 3.84943e-05 10.752
81920000 8 10 2.42848e-01 3.84927e-05 2.42864e-01 +- 3.84956e-05 20.165
81920000 8 100 2.42849e-01 3.84931e-05 2.42851e-01 +- 3.84932e-05 163.941
81920000 8 1000 2.42853e-01 3.84935e-05 2.42862e-01 +- 3.84951e-05 330.165
81920000 8 10000 2.42849e-01 3.84927e-05 2.42858e-01 +- 3.84945e-05 326.135
81920000 8 100000 2.42843e-01 3.84918e-05 2.42862e-01 +- 3.84951e-05 5.974
81920000 16 10 2.42847e-01 3.84926e-05 2.42852e-01 +- 3.84933e-05 39.146
81920000 16 100 2.42848e-01 3.84928e-05 2.42851e-01 +- 3.84934e-05 384.594
81920000 16 1000 2.42849e-01 3.84929e-05 2.42853e-01 +- 3.84938e-05 498.553
81920000 16 10000 2.42855e-01 3.84939e-05 2.42858e-01 +- 3.84947e-05 455.168
81920000 16 100000 2.42863e-01 3.84952e-05 2.42862e-01 +- 3.84950e-05 3.727
81920000 32 10 2.42849e-01 3.84928e-05 2.42860e-01 +- 3.84947e-05 75.519
81920000 32 100 2.42860e-01 3.84946e-05 2.42868e-01 +- 3.84961e-05 585.705
81920000 32 1000 2.42858e-01 3.84943e-05 2.42845e-01 +- 3.84922e-05 988.834
81920000 32 10000 2.42853e-01 3.84934e-05 2.42858e-01 +- 3.84945e-05 75.650
81920000 32 100000 2.42864e-01 3.84956e-05 2.42847e-01 +- 3.84928e-05 1.761
81920000 64 10 2.42844e-01 3.84921e-05 2.42851e-01 +- 3.84932e-05 137.368
81920000 64 100 2.42855e-01 3.84939e-05 2.42848e-01 +- 3.84927e-05 961.027
81920000 64 1000 2.42849e-01 3.84930e-05 2.42848e-01 +- 3.84929e-05 1007.393
81920000 64 10000 2.42845e-01 3.84922e-05 2.42854e-01 +- 3.84939e-05 13.611
81920000 64 100000 2.42843e-01 3.84921e-05 2.42850e-01 +- 3.84931e-05 0.628
81920000 128 10 2.42847e-01 3.84925e-05 2.42856e-01 +- 3.84942e-05 269.148
81920000 128 100 2.42858e-01 3.84944e-05 2.42849e-01 +- 3.84929e-05 1106.070
81920000 128 1000 2.42855e-01 3.84940e-05 2.42852e-01 +- 3.84936e-05 864.789
81920000 128 10000 2.42852e-01 3.84933e-05 2.42857e-01 +- 3.84944e-05 5.103
81920000 128 100000 2.42850e-01 3.84929e-05 2.42857e-01 +- 3.84944e-05 0.249
81920000 256 10 2.42857e-01 3.84943e-05 2.42851e-01 +- 3.84934e-05 479.541
81920000 256 100 2.42854e-01 3.84937e-05 2.42858e-01 +- 3.84945e-05 991.914
81920000 256 1000 2.42846e-01 3.84923e-05 2.42840e-01 +- 3.84916e-05 351.200
81920000 256 10000 2.42859e-01 3.84945e-05 2.42852e-01 +- 3.84935e-05 2.253
81920000 256 100000 2.42847e-01 3.84925e-05 2.42859e-01 +- 3.84946e-05 0.113
81920000 512 10 2.42848e-01 3.84929e-05 2.42852e-01 +- 3.84936e-05 790.930
81920000 512 100 2.42860e-01 3.84948e-05 2.42842e-01 +- 3.84918e-05 897.604
81920000 512 1000 2.42847e-01 3.84928e-05 2.42854e-01 +- 3.84938e-05 20.159
81920000 512 10000 2.42844e-01 3.84920e-05 2.42859e-01 +- 3.84948e-05 0.901
81920000 512 100000 nan nan nan nan nan
81920000 1024 10 2.42858e-01 3.84946e-05 2.42847e-01 +- 3.84928e-05 934.484
81920000 1024 100 2.42848e-01 3.84925e-05 2.42846e-01 +- 3.84925e-05 799.414
81920000 1024 1000 2.42848e-01 3.84926e-05 2.42854e-01 +- 3.84938e-05 6.792
81920000 1024 10000 2.42855e-01 3.84942e-05 2.42849e-01 +- 3.84929e-05 0.329
81920000 1024 100000 nan nan nan nan nan
