BlockSize GridSize GPUonly TotalGPU TotalCPU SpeedUp Check
2 10 1128.808350 1191.572632 111.603996 0.093661 0.00000000000000000000000
2 100 128.983673 192.056198 111.575844 0.580954 0.00000000000000000000000
2 1000 39.268318 102.299805 111.572449 1.090642 0.00000000000000000000000
2 10000 33.158718 96.263863 111.571236 1.159015 0.00000000000000000000000
4 10 644.663147 707.735596 111.621986 0.157717 0.00000000000000000000000
4 100 64.516739 127.664360 111.589088 0.874082 0.00000000000000000000000
4 1000 20.492672 83.581093 111.591934 1.335134 0.00000000000000000000000
4 10000 17.531809 80.690948 111.561279 1.382575 0.00000000000000000000000
8 10 322.414673 385.539062 111.583168 0.289421 0.00000000000000000000000
8 100 32.889439 95.961311 111.563805 1.162591 0.00000000000000000000000
8 1000 11.256000 74.388313 111.548836 1.499548 0.00000000000000000000000
8 10000 9.601696 72.784988 111.566078 1.532817 0.00000000000000000000000
16 10 162.318115 225.431290 111.578140 0.494954 0.00000000000000000000000
16 100 16.642048 79.738045 111.570946 1.399218 0.00000000000000000000000
16 1000 5.692032 68.800354 111.561630 1.621527 0.00000000000000000000000
16 10000 4.891968 68.008705 111.639069 1.641541 0.00000000000000000000000
32 10 82.551331 145.641220 111.614655 0.766367 0.00000000000000000000000
32 100 8.495712 71.611748 111.572227 1.558016 0.00000000000000000000000
32 1000 3.054592 66.224388 111.568481 1.684704 0.00000000000000000000000
32 10000 2.779296 65.925278 111.545853 1.692004 0.00000000000000000000000
64 10 41.321602 104.400665 111.540642 1.068390 0.00000000000000000000000
64 100 4.519264 67.634689 111.564034 1.649509 0.00000000000000000000000
64 1000 2.410880 65.542595 111.585052 1.702482 0.00000000000000000000000
64 10000 2.295072 65.585091 111.551331 1.700864 0.00000000000000000000000
128 10 20.739937 83.863098 111.546051 1.330097 0.00000000000000000000000
128 100 2.632320 65.746948 111.565918 1.696899 0.00000000000000000000000
128 1000 2.269760 65.436707 111.573090 1.705054 0.00000000000000000000000
128 10000 2.257440 65.377594 111.568542 1.706526 0.00000000000000000000000
256 10 10.508832 73.619041 111.622910 1.516223 0.00000000000000000000000
256 100 2.239680 65.400963 111.588959 1.706228 0.00000000000000000000000
256 1000 2.298752 65.438499 111.546303 1.704597 0.00000000000000000000000
256 10000 2.248768 65.380676 111.604195 1.706990 0.00000000000000000000000
512 10 5.545632 68.614082 111.575394 1.626130 0.00000000000000000000000
512 100 2.228480 65.276482 111.556381 1.708983 0.00000000000000000000000
512 1000 2.318304 65.362366 111.625374 1.707793 0.00000000000000000000000
512 10000 2.261696 65.457214 111.591103 1.704795 0.00000000000000000000000
1024 10 3.078528 66.208961 111.552132 1.684849 0.00000000000000000000000
1024 100 2.262208 65.359009 111.575043 1.707110 0.00000000000000000000000
1024 1000 2.286784 65.344994 111.577309 1.707511 0.00000000000000000000000
1024 10000 2.705312 65.782784 111.573059 1.696083 0.00000000000000000000000
