Bins BlockSize GridSize GPUonly TotalGPU CPUonly SpeedUp
256 2 10 1582.807739 1642.827271 392.102478 0.239
256 2 100 204.246979 264.444397 392.087067 1.483
256 2 1000 82.018845 143.744064 392.164764 2.728
256 2 10000 74.475616 134.637344 392.158661 2.913
256 2 100000 74.457916 134.545593 392.205353 2.915
256 2 1000000 74.372223 134.516098 392.149597 2.915
256 4 10 897.473389 957.602295 392.108826 0.409
256 4 100 91.549629 151.667282 392.080353 2.585
256 4 1000 56.716225 116.913284 392.047699 3.353
256 4 10000 55.372608 115.514145 392.080933 3.394
256 4 100000 55.306080 115.453758 392.148132 3.397
256 4 1000000 65.895134 126.059357 392.265411 3.112
256 8 10 457.161835 517.277893 392.085175 0.758
256 8 100 58.376190 118.479065 392.076843 3.309
256 8 1000 54.776993 114.916603 392.031891 3.411
256 8 10000 54.824928 114.975616 392.119690 3.410
256 8 100000 54.762112 114.861725 392.288239 3.415
256 8 1000000 54.740639 114.903038 392.089722 3.412
256 16 10 227.888153 287.966248 392.135620 1.362
256 16 100 48.037151 108.254616 392.138977 3.622
256 16 1000 47.938465 108.041695 392.067383 3.629
256 16 10000 53.791840 113.946815 392.271271 3.443
256 16 100000 51.837887 112.085922 392.141083 3.499
256 16 1000000 47.917953 108.060646 392.217438 3.630
256 32 10 115.331711 175.438202 392.186646 2.235
256 32 100 47.799873 107.935623 392.085724 3.633
256 32 1000 47.790817 107.892357 392.156067 3.635
256 32 10000 47.797153 108.158684 392.018036 3.624
256 32 100000 47.790722 107.960327 392.091949 3.632
256 32 1000000 47.793598 107.944450 392.001434 3.632
256 64 10 58.510784 118.581635 392.206329 3.307
256 64 100 56.996990 117.138939 392.298126 3.349
256 64 1000 49.583488 109.696030 391.992340 3.573
256 64 10000 47.796864 107.917152 392.133698 3.634
256 64 100000 47.797729 107.944992 392.166565 3.633
256 64 1000000 47.793121 108.045151 392.161926 3.630
256 128 10 48.205887 108.328773 392.141083 3.620
256 128 100 47.798912 107.919266 392.116913 3.633
256 128 1000 47.794434 108.111549 392.063965 3.626
256 128 10000 47.794975 107.913376 392.102356 3.633
256 128 100000 47.790176 107.906525 392.097565 3.634
256 128 1000000 57.767967 117.956696 392.229034 3.325
256 256 10 49.565247 109.671967 392.001465 3.574
256 256 100 47.798817 107.906624 392.076202 3.633
256 256 1000 47.791679 107.896996 392.118805 3.634
256 256 10000 47.794945 108.077187 392.102386 3.628
256 256 100000 47.793823 108.003868 392.112732 3.631
256 256 1000000 50.336895 110.579231 392.119385 3.546
256 512 10 47.792545 107.934464 392.094635 3.633
256 512 100 47.799168 107.987259 391.978973 3.630
256 512 1000 47.794529 107.868958 392.091736 3.635
256 512 10000 56.996513 117.203644 392.146515 3.346
256 512 100000 49.795170 109.965569 392.098938 3.566
256 512 1000000 54.525631 114.680031 392.331482 3.421
256 1024 10 47.790272 107.940353 391.988861 3.632
256 1024 100 47.790497 107.868744 392.123077 3.635
256 1024 1000 47.793793 107.887428 392.088196 3.634
256 1024 10000 47.790462 107.949020 392.313385 3.634
256 1024 100000 48.161343 108.362526 392.099274 3.618
256 1024 1000000 65.006882 125.167999 391.939606 3.131
