BlockSize GridSize GPUonly TotalGPU CPUonly SpeedUp
2 10 1593.302612 1652.846313 393.008759 0.238
2 100 180.110275 239.738892 392.911682 1.639
2 1000 87.529663 147.229004 392.736053 2.668
2 10000 83.415108 143.108749 393.097595 2.747
2 100000 83.385185 143.036545 392.757538 2.746
2 1000000 83.290466 142.956268 392.724365 2.747
4 10 897.536438 957.159790 392.727295 0.410
4 100 91.406815 151.096161 392.826141 2.600
4 1000 58.375263 118.031357 392.746216 3.327
4 10000 67.536324 127.190781 392.741669 3.088
4 100000 61.483711 121.138908 392.784729 3.242
4 1000000 56.799744 116.450493 392.735016 3.373
8 10 453.611786 513.221802 392.721832 0.765
8 100 59.992161 119.640030 392.765289 3.283
8 1000 56.606976 116.249435 392.737701 3.378
8 10000 56.338718 115.974907 392.712036 3.386
8 100000 56.316864 115.946693 392.770874 3.388
8 1000000 56.299934 115.957504 392.658752 3.386
16 10 228.026917 287.660706 392.757416 1.365
16 100 54.167519 113.896065 392.792938 3.449
16 1000 46.993343 106.691643 392.915192 3.683
16 10000 45.248447 104.956223 392.723907 3.742
16 100000 45.239201 104.947739 392.749908 3.742
16 1000000 45.219070 104.881126 392.740662 3.745
32 10 115.169952 174.815552 392.814514 2.247
32 100 45.101921 104.787643 392.687134 3.747
32 1000 45.096802 104.764000 392.759857 3.749
32 10000 45.101727 104.800415 392.720917 3.747
32 100000 45.095230 104.764130 392.745148 3.749
32 1000000 53.171200 112.834015 392.714111 3.480
64 10 59.177982 118.826141 392.726013 3.305
64 100 45.094082 104.774719 392.741608 3.748
64 1000 45.101311 104.789116 392.707550 3.748
64 10000 45.096767 104.752190 392.799194 3.750
64 100000 45.096066 104.773544 392.726868 3.748
64 1000000 45.096256 104.762589 392.741272 3.749
128 10 45.899361 105.528221 392.781769 3.722
128 100 45.101826 104.759323 392.686798 3.748
128 1000 45.100609 104.815460 392.919250 3.749
128 10000 53.784737 113.486336 392.735901 3.461
128 100000 45.089664 104.752769 392.745178 3.749
128 1000000 45.741505 105.409889 392.929230 3.728
256 10 45.101952 104.757988 392.684082 3.748
256 100 45.099583 105.224380 392.757965 3.733
256 1000 45.105568 104.793671 392.667480 3.747
256 10000 45.097279 104.773216 392.723419 3.748
256 100000 45.093441 104.757607 392.738403 3.749
256 1000000 47.641216 107.299706 392.715546 3.660
512 10 45.097439 104.752701 392.770752 3.750
512 100 53.792000 113.497566 392.717682 3.460
512 1000 48.760799 108.457024 392.775330 3.621
512 10000 45.095074 104.769089 392.701324 3.748
512 100000 45.095806 104.782845 392.710724 3.748
512 1000000 51.829346 111.492058 392.771057 3.523
1024 10 45.097729 104.743904 392.709015 3.749
1024 100 45.096802 104.771271 392.730042 3.748
1024 1000 45.095329 104.750275 392.815552 3.750
1024 10000 45.093025 104.734879 392.767548 3.750
1024 100000 45.462688 105.132515 392.770508 3.736
1024 1000000 74.351326 134.058716 392.741058 2.930
